,ITEMID,UOM,BRANDID,CLASSIFY_STATE,SUBSTATE,STARTDATE,ENDDATE,RRP,DEAL,BUNDLE_QTY,BUNDLE_PRICE,EXCEL_PATH,EMAIL_PATH,CLAIM_NUMBER,VEN_ID,VEN_NAME,CLAIM_NUMBER_NEW
13,39444,1,LL,STATE,VIC,2023-06-21,2023-07-18,60.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,3,12947,G.H.P.L.,3
14,39444,1,LL,STATE,TAS,2023-06-21,2023-07-18,60.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,3,12947,G.H.P.L.,3
15,39444,1,LL,STATE,NT,2023-06-21,2023-07-18,61.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,3,12947,G.H.P.L.,3
16,39444,1,LL,STATE,WA,2023-06-21,2023-07-18,61.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,3,12947,G.H.P.L.,3
17,49283,1,VC,National,,2023-05-17,2023-06-27,24.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/VC PAF PC10 weeks 170523 to 270623.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external pc10 paf.eml,4,962280,ROBERT OATLEY VINEYARDS,1
18,54195,1,VC,National,,2023-05-17,2023-06-27,24.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/VC PAF PC10 weeks 170523 to 270623.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external pc10 paf.eml,4,962280,ROBERT OATLEY VINEYARDS,1
19,3175281,1,VC,National,,2023-05-17,2023-06-27,25.0,2.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/VC PAF PC10 weeks 170523 to 270623.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external pc10 paf.eml,4,962280,ROBERT OATLEY VINEYARDS,1
20,103046,1,VC,National,,2023-04-12,2023-05-16,13.0,0.2,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_220801_220901_A/VC PC4 1210 to 15112022 290822.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_220801_220901_A/re external re pc4 robert oatley.eml,5,962280,ROBERT OATLEY VINEYARDS,2
21,507721,1,1C,National,,2023-03-29,2023-04-25,28.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/1C PAF form wks 4851 100523.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 4851 2405 2006.eml,6,962280,ROBERT OATLEY VINEYARDS,3
22,1232985,1,1C,National,,2023-02-01,2023-04-25,80.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,7,12947,G.H.P.L.,7
23,1233015,1,1C,National,,2022-09-14,2022-10-11,75.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221001_221101_A/1C PAFformPiper Nov Dec 091122 to 061222.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221001_221101_A/robert oatley ll1c initial supplier confirmation weeks 2023 2427 piperheidsieck.eml,8,12947,G.H.P.L.,8
24,1233015,1,1C,National,,2023-04-26,2023-05-23,75.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221201_230401_A/LL PAF form wks 3639 210223.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221201_230401_A/re external robert oatley ll1c final supplier confirmation weeks 3639 0103 2803.eml,9,12947,G.H.P.L.,9
